Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018,Derrick White,PG,23,SAS,4,21,8.7,0.133,0,2,10.6,21.3,16,12,2.4,4,0,8,0,0,0,0.049,-5.7,4.9,-0.7,0
2018,Okaro White,PF,25,MIA,6,80,9.1,0.577,0.688,0.188,4.2,11,7.6,3.7,0.6,1,5.5,10.3,0.1,0.1,0.2,0.094,-1.3,-0.6,-2,0
2018,Isaiah Whitehead,PG,22,BRK,8,92,9.7,0.496,0.174,0.217,2.2,12.8,7.4,25.8,2.5,1.7,25.2,30.4,-0.3,0.1,-0.2,-0.099,-5.8,-0.4,-6.2,-0.1
2018,Hassan Whiteside,C,28,MIA,15,402,25.6,0.612,0.013,0.325,11.7,40.8,26.3,2.8,1.7,4.8,11.2,22.9,0.9,0.9,1.8,0.215,-2.7,1.1,-1.6,0
2018,Andrew Wiggins,SF,22,MIN,23,849,15.2,0.536,0.283,0.353,3.1,9.8,6.4,8.6,1.7,1.5,9.4,23.5,0.8,0.4,1.2,0.068,0.5,-1.5,-1,0.2
2018,Jacob Wiley,PF,23,BRK,4,32,8.3,0.41,0.5,0.5,6.3,30.1,17.9,7.9,1.5,0,0,6.3,0,0,0.1,0.089,-3.3,1.1,-2.3,0
2018,Damien Wilkins,SF,38,IND,12,77,7.7,0.5,0.375,0,5.9,7.2,6.5,10.2,1.3,0,20,11.3,0,0,0,0.016,-2.1,-1.4,-3.6,0
2018,C.J. Williams,SG,27,LAC,9,83,8.7,0.503,0.286,0.095,0,12.3,6,14.5,1.2,0,12.1,13.1,0,0,0,0.028,-3.1,-2.4,-5.5,-0.1
2018,Lou Williams,SG,31,LAC,21,618,19.8,0.587,0.419,0.333,1.8,7.9,4.8,24.4,1.7,0.6,14.8,27.6,1.3,0.2,1.5,0.12,3.6,-3.3,0.3,0.4
2018,Marvin Williams,PF,31,CHO,21,539,14.1,0.621,0.528,0.19,3,14.6,8.8,6.2,1.5,1.3,6.7,13.3,1,0.5,1.6,0.139,1.3,0.9,2.2,0.6
2018,Troy Williams,SF,23,HOU,4,17,-2.4,0.242,0.556,0.333,6.6,19.6,13.2,8.5,2.8,0,8.8,28.8,-0.1,0,-0.1,-0.239,-11.5,-2.2,-13.7,-0.1
2018,D.J. Wilson,PF,21,MIL,9,35,3.5,0.444,0.333,0,0,17,8.5,4.1,0,0,10,13.1,0,0,0,-0.042,-6.4,-4,-10.4,-0.1
